,c1,c2,t1,t2
YEL063C,8.588205897051473,7.609695152423788,7.626686656671664,5.635182408795602
YEL064C,4.6121939030484755,4.377811094452774,3.929535232383808,4.407296351824088
YEL065W,9.210894552723639,11.571714142928537,4.366816591704148,5.9545227386306845
YEL066W,2.706646676661669,3.3318340829585207,2.647176411794103,2.0049975012493753
YEL067C,3.2168915542228884,2.5662168915542227,2.9870064967516243,3.0174912543728136
YEL071W,58.43628185907046,47.00599700149925,52.088955522238884,39.12493753123438
YEL072W,3.8260869565217392,3.207896051974013,3.845577211394303,3.790104947526237
YER001W,3.7781109445277363,2.6216891554222888,3.606696651674163,4.1189405297351325
YER002W,4.9345327336331835,5.367316341829086,6.064967516241879,5.247376311844078
YER003C,4.057471264367816,3.9545227386306845,2.951024487756122,3.7446276861569214
YER004W,4.56671664167916,3.6216891554222888,6.266366816591704,4.604197901049475
YER006W,7.246876561719141,6.2923538230884555,8.515742128935532,6.877061469265367
YER007C-A,8.739630184907547,6.83808095952024,6.04647676161919,9.922038980509745
YER007W,4.564217891054473,4.647176411794103,5.247376311844078,5.313343328335832
YER008C,4.3523238380809595,3.4537731134432783,3.7586206896551726,4.247376311844078
YER009W,10.081459270364817,9.694152923538232,12.838580709645177,9.396301849075462
YER010C,2.787106446776612,2.348825587206397,2.449275362318841,2.338830584707646
YER011W,2.8330834582708646,2.0589705147426285,2.2838580709645178,2.5367316341829085
YER012W,6.714142928535732,6.84207896051974,8.314342828585707,7.922538730634683
YER013W,6.073463268365817,5.314842578710644,4.8015992003998,5.52223888055972
YER014W,2.499250374812594,2.134432783608196,2.207896051974013,2.5167416291854074
YER015W,3.3788105947026486,3.91904047976012,2.5217391304347827,2.808095952023988
YER016W,3.1239380309845077,2.813093453273363,2.5162418790604697,2.6496751624187906
YER017C,4.909045477261369,3.551224387806097,5.64367816091954,3.100449775112444
YER018C,3.6561719140429787,2.3028485757121437,2.4322838580709645,1.990504747626187
YER019C-A,11.150424787606196,11.067966016991504,14.551724137931034,8.44127936031984
YER019W,4.889555222388806,3.5187406296851576,4.559720139930035,3.3138430784607698
YER020W,3.632183908045977,2.5987006496751626,2.022488755622189,2.1704147926036983
YER021W,6.868065967016491,5.88455772113943,7.225387306346827,5.872563718140929
YER022W,4.99400299850075,5.039980009995002,5.294852573713143,4.26736631684158
YER023W,4.125937031484258,3.794102948525737,5.013993003498251,4.018990504747626
YER025W,10.740129935032483,9.171414292853573,12.4087956021989,7.937031484257871
YER026C,10.088455772113942,12.386306846576712,4.976511744127936,6.083958020989505
YER027C,2.52423788105947,2.445777111444278,2.8260869565217392,2.364817591204398
YER028C,6.214392803598201,5.591704147926037,4.920539730134933,3.6696651674162917
YER029C,3.8630684657671166,2.754622688655672,4.170414792603698,3.052473763118441
YER030W,6.167416291854073,5.4387806096951525,6.0144927536231885,4.377311344327836
YER031C,3.245377311344328,2.4887556221889056,3.2748625687156423,2.5837081459270363
YER032W,2.715642178910545,2.027986006996502,1.6496751624187906,2.1414292853573214
YER034W,5.4677661169415295,4.4987506246876565,4.197901049475262,3.367816091954023
YER035W,13.950524737631184,12.24687656171914,9.680659670164918,5.568215892053973
YER036C,18.737631184407796,18.027986006996503,16.902548725637182,11.854072963518242
YER037W,3.099950024987506,1.8050974512743627,2.4617691154422787,2.8850574712643677
YER038C,4.030984507746127,3.653673163418291,4.1944027986006995,4.424787606196902
YER039C,6.1879060469765115,5.417291354322838,8.746126936531734,6.766116941529235
YER039C-A,6.1879060469765115,5.417291354322838,8.746126936531734,6.766116941529235
YER040W,3.0589705147426285,2.652673663168416,4.297351324337831,2.6636681659170414
YER041W,2.574712643678161,2.4347826086956523,3.2538730634682658,2.531234382808596
YER042W,5.913543228385807,4.927536231884058,3.2318840579710146,3.294352823588206
YER043C,23.475262368815592,21.58520739630185,11.830084957521239,8.237881059470265
YER044C,8.402298850574713,6.092453773113443,3.922538730634683,5.149425287356322
YER044C-A,2.366816591704148,2.120439780109945,2.1584207896051972,2.130934532733633
YER045C,5.79960019990005,5.458270864567716,3.3063468265867066,3.4837581209395303
YER046W,3.972013993003498,3.5302348825587204,3.9065467266366816,4.053973013493254
YER047C,3.215392303848076,2.7061469265367317,3.809095452273863,3.364817591204398
YER048C,3.2508745627186406,2.6686656671664166,3.95952023988006,2.893553223388306
YER048W-A,7.577711144427786,5.8990504747626185,7.257871064467766,6.692653673163418
YER049W,5.246876561719141,4.7521239380309845,5.900549725137432,4.860569715142429
YER050C,3.8065967016491755,4.246376811594203,5.4922538730634685,4.31984007996002
YER051W,2.6786606696651676,2.4247876061969014,3.063968015992004,3.2178910544727635
YER052C,9.537231384307846,9.377311344327836,9.295852073963019,5.417791104447776
YER053C,2.20039980009995,2.075962018990505,2.7916041979010493,2.9685157421289357
YER053C-A,2.187406296851574,1.6946526736631684,1.9650174912543728,2.5667166416791605
YER055C,6.849075462268866,6.504247876061969,7.587206396801599,5.883558220889555
YER056C,52.35782108945527,47.66816591704148,31.138430784607696,25.316341829085456
YER056C-A,12.612693653173414,12.032983508245877,12.723638180909544,9.687156421789105
YER057C,10.4047976011994,8.624687656171915,8.92703648175912,8.286356821589205
YER058W,5.0009995002498755,5.312343828085957,5.906546726636682,5.162918540729635
YER059W,3.420789605197401,2.8895552223888057,4.46976511744128,4.207396301849076
YER060W,4.147926036981509,4.101449275362318,5.909045477261369,4.3433283358320836
YER061C,5.266366816591704,4.704647676161919,3.7041479260369816,3.798600699650175
YER062C,8.694152923538232,7.137431284357821,4.231884057971015,3.7551224387806097
YER063W,7.975012493753123,7.010994502748626,5.864067966016991,7.264367816091954
YER064C,11.21639180409795,11.164917541229386,5.771114442778611,8.515242378810594
YER065C,6.217891054472764,5.15192403798101,5.304847576211894,5.524737631184408
YER066W,3.370814592703648,3.1724137931034484,3.4237881059470263,4.207396301849076
YER067W,4.384307846076961,4.551224387806097,3.918040979510245,3.817591204397801
YER068W,6.467266366816592,5.820089955022489,4.944027986006996,6.248875562218891
YER069W,5.977011494252873,7.357821089455272,4.932033983008496,5.064467766116942
YER070W,8.089955022488756,8.058470764617692,3.136431784107946,4.295852073963019
YER071C,11.86256871564218,9.035982008995502,8.074462768615692,8.161419290354823
YER072W,19.803098450774613,16.891554222888555,13.429785107446277,10.436281859070466
YER073W,22.578210894552722,19.192903548225885,16.285857071464267,15.458270864567716
YER074W,15.999500249875062,16.576711644177912,14.9880059970015,14.380309845077461
YER074W-A,6.777611194402799,6.135932033983009,8.264367816091953,7.596201899050475
YER075C,3.709645177411294,3.0184907546226887,3.108445777111444,2.685157421289355
YER076C,3.180909545227386,3.0389805097451275,3.6956521739130435,4.388305847076462
YER077C,3.073463268365817,3.500249875062469,3.367816091954023,3.7576211894052975
YER078C,3.246376811594203,3.0569715142428784,3.3918040979510247,3.2513743128435784
